,loss,iou_score,val_loss,val_iou_score
0,0.5090906620025635,0.40581291913986206,0.49986883997917175,0.446338027715683
1,0.43923500180244446,0.473124623298645,0.5377606749534607,0.4404078423976898
2,0.4109954237937927,0.4978306293487549,0.4805600941181183,0.4405023455619812
3,0.3894082307815552,0.5140529870986938,0.49335697293281555,0.4611152112483978
4,0.37424784898757935,0.5295615792274475,0.4986231029033661,0.46269986033439636
5,0.3561939001083374,0.5433922410011292,0.5134275555610657,0.39769038558006287
6,0.34100595116615295,0.5577988624572754,0.4566008150577545,0.4847266972064972
7,0.3263895809650421,0.5729092955589294,0.46706369519233704,0.46157601475715637
8,0.3167950510978699,0.577985405921936,0.4412480592727661,0.5044269561767578
9,0.30121076107025146,0.5940812230110168,0.5034128427505493,0.4983486533164978
10,0.28234201669692993,0.6140973567962646,0.49126994609832764,0.5006950497627258
11,0.27329114079475403,0.6207021474838257,0.4826582670211792,0.4841591417789459
12,0.26901715993881226,0.6283456087112427,0.5191870331764221,0.49800723791122437
13,0.2489902526140213,0.6449820399284363,0.4902690649032593,0.537669837474823
